Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
StartDragBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MouseClick | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
MoveBlock 514864285 | added to participant #1
EndDragBlock 514864285 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 521436442 | added to participant #1
StartDragBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MouseClick | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
MoveBlock 521436442 | added to participant #1
EndDragBlock 521436442 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1078316853 | added to participant #1
StartDragBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
MoveBlock 1078316853 | added to participant #1
EndDragBlock 1078316853 | added to participant #1
MouseReleased | added to participant #1
StartDragBlock 1967337226 | added to participant #1
MoveBlock 1967337226 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1967337226 | added to participant #1
EndDragBlock 1967337226 | added to participant #1
MouseReleased | added to participant #1
NewTask 23 | added to participant #1
CreateBlock 668289079 | added to participant #1
StartDragBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
MouseClick | added to participant #1
MoveBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
MoveBlock 668289079 | added to participant #1
